date_id,full_date,year,quarter,month,month_name,day_of_month,day_of_week,day_name,is_weekend,fiscal_year,fiscal_quarter
20230101,2023-01-01,2023,Q1,1,January,1,7,Sunday,Yes,FY2023,FQ3
20230201,2023-02-01,2023,Q1,2,February,1,3,Wednesday,No,FY2023,FQ3
20230301,2023-03-01,2023,Q1,3,March,1,3,Wednesday,No,FY2023,FQ3
20230401,2023-04-01,2023,Q2,4,April,1,6,Saturday,Yes,FY2023,FQ4
20230501,2023-05-01,2023,Q2,5,May,1,1,Monday,No,FY2023,FQ4
20230601,2023-06-01,2023,Q2,6,June,1,4,Thursday,No,FY2023,FQ4
20230701,2023-07-01,2023,Q3,7,July,1,6,Saturday,Yes,FY2024,FQ1
20230801,2023-08-01,2023,Q3,8,August,1,2,Tuesday,No,FY2024,FQ1
20230901,2023-09-01,2023,Q3,9,September,1,5,Friday,No,FY2024,FQ1
20231001,2023-10-01,2023,Q4,10,October,1,7,Sunday,Yes,FY2024,FQ2
20231101,2023-11-01,2023,Q4,11,November,1,3,Wednesday,No,FY2024,FQ2
20231201,2023-12-01,2023,Q4,12,December,1,5,Friday,No,FY2024,FQ2
20240101,2024-01-01,2024,Q1,1,January,1,1,Monday,No,FY2024,FQ3
20240201,2024-02-01,2024,Q1,2,February,1,4,Thursday,No,FY2024,FQ3
20240301,2024-03-01,2024,Q1,3,March,1,5,Friday,No,FY2024,FQ3
20240401,2024-04-01,2024,Q2,4,April,1,1,Monday,No,FY2024,FQ4
20240501,2024-05-01,2024,Q2,5,May,1,3,Wednesday,No,FY2024,FQ4
20240601,2024-06-01,2024,Q2,6,June,1,6,Saturday,Yes,FY2024,FQ4
20240701,2024-07-01,2024,Q3,7,July,1,1,Monday,No,FY2025,FQ1
20240801,2024-08-01,2024,Q3,8,August,1,4,Thursday,No,FY2025,FQ1
20240901,2024-09-01,2024,Q3,9,September,1,7,Sunday,Yes,FY2025,FQ1
20241001,2024-10-01,2024,Q4,10,October,1,2,Tuesday,No,FY2025,FQ2
20241101,2024-11-01,2024,Q4,11,November,1,5,Friday,No,FY2025,FQ2
20241201,2024-12-01,2024,Q4,12,December,1,7,Sunday,Yes,FY2025,FQ2
