subscription_id,customer_id,product_id,plan_id,region_id,date_id,revenue_amount,seats_purchased,seats_active,api_calls_used,storage_used_gb,subscription_status,mrr,arr,is_expansion,is_churned,nps_score,support_tickets_opened
1001,1,3,2,1,20230201,1999.90,50,42,85000,320,Active,166.66,1999.90,No,No,9,2
1002,2,1,1,2,20230301,29.99,3,3,800,5,Active,29.99,359.88,No,No,7,1
1003,3,6,5,3,20230401,2999.90,200,185,420000,850,Active,249.99,2999.90,No,No,10,0
1004,4,5,2,5,20230501,1299.90,40,35,42000,180,Active,108.33,1299.90,No,No,8,1
1005,5,10,6,4,20230601,599.90,5,4,2500,15,Active,54.54,599.90,No,No,6,3
1006,6,9,4,2,20230701,2499.90,150,140,200000,600,Active,104.16,2499.90,No,No,9,1
1007,7,2,2,11,20230801,799.90,20,18,8000,70,Active,66.66,799.90,No,No,8,0
1008,8,4,1,3,20230901,49.99,8,6,3500,18,Cancelled,0,0,No,Yes,4,8
1009,9,5,2,12,20231001,1299.90,45,38,35000,160,Active,108.33,1299.90,No,No,7,2
1010,10,12,5,7,20231101,3499.90,300,275,280000,900,Active,291.66,3499.90,No,No,10,1
1011,11,1,1,1,20231201,29.99,4,4,950,8,Active,29.99,359.88,No,No,7,0
1012,12,11,2,13,20240101,1499.90,25,20,22000,140,Active,124.99,1499.90,No,No,8,1
1013,13,9,4,8,20240201,2499.90,120,110,180000,500,Active,104.16,2499.90,No,No,9,0
1014,14,5,2,14,20240301,1299.90,35,30,28000,120,Active,108.33,1299.90,No,No,7,2
1015,15,10,6,6,20240401,599.90,5,5,2800,18,Active,54.54,599.90,No,No,8,1
1016,16,2,2,5,20240501,799.90,22,19,9200,85,Active,66.66,799.90,No,No,8,0
1017,17,12,5,10,20240601,3499.90,250,230,260000,850,Active,291.66,3499.90,No,No,9,2
1018,18,7,1,9,20240701,39.99,8,7,1500,10,Active,39.99,479.88,No,No,6,4
1019,19,6,4,3,20240801,2999.90,180,165,380000,780,Active,124.99,2999.90,No,No,10,1
1020,20,4,2,15,20240901,499.90,10,8,4200,22,Active,41.66,499.90,No,No,7,2
1021,1,11,2,1,20240301,1499.90,30,28,25000,150,Active,124.99,1499.90,Yes,No,9,1
1022,3,12,5,3,20240601,3499.90,100,90,150000,500,Active,291.66,3499.90,Yes,No,10,0
1023,6,3,4,2,20240401,1999.90,75,70,90000,400,Active,83.33,1999.90,Yes,No,9,1
1024,10,9,5,7,20240801,2499.90,100,95,180000,600,Active,104.16,2499.90,Yes,No,10,0
1025,2,2,2,2,20240501,799.90,15,12,7500,60,Active,66.66,799.90,Yes,No,8,1
1026,4,11,2,5,20240701,1499.90,30,25,20000,130,Active,124.99,1499.90,Yes,No,8,0
1027,7,8,2,11,20240901,999.90,40,35,20000,120,Active,83.33,999.90,Yes,No,9,1
1028,5,1,1,4,20240801,29.99,5,3,600,4,Cancelled,0,0,No,Yes,3,6
1029,9,11,2,12,20240401,1499.90,28,24,18000,110,Active,124.99,1499.90,Yes,No,7,2
1030,13,12,4,8,20240701,3499.90,200,185,250000,800,Active,145.83,3499.90,Yes,No,9,1
